domain,subject,subject1,subject2,subject3,subject4,subject5,subject6
google.ru,портал,,,,,,
yandex.ru,портал,,,,,,
vk.com,развлечения и отдых,,,,,,
youtube.com,развлечения и отдых,,,,,,
mail.ru,портал,,,,,,
instagram.com,развлечения и отдых,,,,,,
ok.ru,развлечения и отдых,,,,,,
zen.yandex.ru,сообщества,,,,,,
facebook.com,развлечения и отдых,,,,,,
yandex.ru/video,развлечения и отдых,,,,,,
avito.ru,торговля,,,,,,
yandex.ru/news,новости и сми,,,,,,
gosuslugi.ru,государство и общество,,,,,,
ria.ru,бизнес,новости и сми,,,,,
wikipedia.org,справочные ресурсы,,,,,,
kp.ru,бизнес,новости и сми,журналы,,,,
yandex.ru/maps,транспорт,перевозки,справочные ресурсы,путешествия,,,
rbc.ru,бизнес,новости и сми,,,,,
otvet.mail.ru,развлечения и отдых,,,,,,
kinopoisk.ru,культура и искусство,развлечения и отдых,,,,,
lenta.ru,новости и сми,,,,,,
yandex.ru/pogoda,справочные ресурсы,,,,,,
rambler.ru,портал,,,,,,
market.yandex.ru,торговля,,,,,,
e.mail.ru,техника и технологии,,,,,,
sberbank.ru,финансы,,,,,,
rg.ru,бизнес,новости и сми,журналы,,,,
mk.ru,журналы,новости и сми,,,,,
yandex.ru/collections,сервисы,,,,,,
news.rambler.ru,новости и сми,,,,,,
gazeta.ru,журналы,новости и сми,,,,,
znanija.com,образование,,,,,,
gismeteo.ru,справочные ресурсы,,,,,,
tass.ru,бизнес,новости и сми,,,,,
disk.yandex.ru,техника и технологии,,,,,,
kommersant.ru,журналы,новости и сми,,,,,
aif.ru,бизнес,новости и сми,журналы,,,,
rt.com,бизнес,новости и сми,,,,,
livejournal.com,развлечения и отдых,,,,,,
pikabu.ru,развлечения и отдых,,,,,,
mail.yandex.ru,техника и технологии,,,,,,
vesti.ru,новости и сми,,,,,,
lentainform.com,новости и сми,,,,,,
wildberries.ru,здоровье,торговля,аксессуары,обувь,красота,стиль,
yandex.ru/health,здоровье,красота,стиль,,,,
ozon.ru,торговля,,,,,,
regnum.ru,бизнес,новости и сми,,,,,
ivi.ru,развлечения и отдых,,,,,,
mos.ru,государство и общество,,,,,,
docs.google.com,сервисы,,,,,,
ntv.ru,новости и сми,,,,,,
music.yandex.ru,культура и искусство,развлечения и отдых,,,,,
smi2.ru,новости и сми,,,,,,
bolshoyvopros.ru,справочные ресурсы,,,,,,
zaycev.net,развлечения и отдых,,,,,,
infourok.ru,образование,,,,,,
lifehacker.ru,развлечения и отдых,,,,,,
russianfood.com,домашнее хозяйство,,,,,,
mvideo.ru,торговля,домашнее хозяйство,,,,,
